nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
1LIFE HEALTHCARE INC,COMMON STOCK,68269G107,989,SOLE,48861,SH,48861,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,6295,SOLE,52842,SH,52842,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2612,SOLE,10200,SH,10200,0,0
ARVINAS INC,COMMON STOCK,04335A105,6353,SOLE,77302,SH,77302,0,0
AT T INC,COMMON STOCK,00206R102,586,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,310,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2195,SOLE,8043,SH,8043,0,0
CALIFORNIA WATER SERVICE GRP,COMMON STOCK,130788102,215,SOLE,3650,SH,3650,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,944,SOLE,18000,SH,18000,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,191,SOLE,37500,SH,37500,0,0
DOORDASH INC   A,COMMON STOCK,25809K105,2284,SOLE,11089,SH,11089,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,10018,SOLE,33400,SH,33400,0,0
EVENTBRITE INC CLASS A,COMMON STOCK,29975E109,340,SOLE,17992,SH,17992,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1976,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,516,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,896,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,14950,SOLE,111440,SH,111440,0,0
IRONSOURCE LTD A,COMMON STOCK,M5R75Y101,86960,SOLE,8000000,SH,8000000,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,787,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1622,SOLE,21600,SH,21600,0,0
NURIX THERAPEUTICS INC,COMMON STOCK,67080M103,17113,SOLE,571212,SH,571212,0,0
OPENDOOR TECHNOLOGIES INC,COMMON STOCK,683712103,25167,SOLE,1225861,SH,1225861,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,529442,SOLE,37495893,SH,37495893,0,0
PFIZER INC,COMMON STOCK,717081103,1189,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,18899,SOLE,608663,SH,608663,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,2549,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,8727,SOLE,387508,SH,387508,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1249,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,246,SOLE,1350,SH,1350,0,0
UPSTART HOLDINGS INC,COMMON STOCK,91680M107,24821,SOLE,78438,SH,78438,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,958,SOLE,17735,SH,17735,0,0
VIEW INC,COMMON STOCK,92671V106,303,SOLE,55886,SH,55886,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,1015,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,840,SOLE,18106,SH,18106,0,0
ALIBABA GROUP HOLDING SP ADR,DEPOSITORY RECEIPTS,01609W102,68463,SOLE,462431,SH,462431,0,0
PINDUODUO INC ADR,DEPOSITORY RECEIPTS,722304102,4586,SOLE,50582,SH,50582,0,0
SPDR S P MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2693,SOLE,5600,SH,5600,0,0
